ÐòºÅ     x×ø±ê             y×ø±ê
N 150  G00X37.263      Y-121.606
N 151  G00X36.976      Y-116.946
N 152  G00X36.504      Y-112.537
N 153  G00X35.845      Y-108.379
N 154  G00X35.001      Y-104.472
N 155  G00X33.970      Y-100.816
N 156  G00X32.754      Y-97.411
N 157  G00X31.351      Y-94.258
N 158  G00X29.763      Y-91.355
N 159  G00X27.988      Y-88.703
N 160  G00X26.027      Y-86.303
N 161  G00X23.880      Y-84.153
N 162  G00X21.547      Y-82.255
N 163  G00X19.027      Y-80.608
N 164  G00X16.322      Y-79.212
N 165  G00X13.430      Y-78.067
N 166  G00X10.352      Y-77.173
N 167  G00X7.087       Y-76.530
N 168  G00X3.637       Y-76.138
N 169  G00X0.000       Y-75.997
N 170  G00X0.000       Y-75.997
N 171  G00X0.000       Y-79.094
N 172  G00X0.000       Y-82.192
N 173  G00X0.000       Y-85.289
N 174  G00X0.000       Y-88.387
N 175  G00X0.000       Y-91.484
N 176  G00X0.000       Y-94.581
N 177  G00X0.000       Y-97.679
N 178  G00X0.000       Y-100.776
N 179  G00X0.000       Y-103.872
N 180  G00X0.000       Y-106.969
N 181  G00X0.000       Y-110.066
N 182  G00X0.000       Y-113.162
N 183  G00X0.000       Y-116.258
N 184  G00X0.000       Y-119.354
N 185  G00X0.000       Y-122.449
N 186  G00X0.000       Y-125.545
N 187  G00X0.000       Y-128.639
N 188  G00X0.000       Y-131.734
N 189  G00X0.000       Y-134.828
N 190  G00X0.000       Y-137.922
N 191  G00X0.000       Y-137.922
N 192  G00X0.091       Y-140.141
N 193  G00X0.326       Y-142.254
N 194  G00X0.705       Y-144.263
N 195  G00X1.229       Y-146.168
N 196  G00X1.896       Y-147.968
N 197  G00X2.708       Y-149.664
N 198  G00X3.664       Y-151.255
N 199  G00X4.764       Y-152.742
N 200  G00X6.009       Y-154.125
N 201  G00X7.398       Y-155.404
N 202  G00X8.931       Y-156.579
N 203  G00X10.609      Y-157.650
N 204  G00X12.431      Y-158.617
N 205  G00X14.398      Y-159.480
N 206  G00X16.509      Y-160.239
N 207  G00X18.765      Y-160.895
N 208  G00X21.166      Y-161.448
N 209  G00X23.711      Y-161.896
N 210  G00X26.401      Y-162.242
N 211  G00X29.235      Y-162.484
N 212  G00X29.235      Y-162.484
N 213  G00X29.235      Y-163.071
N 214  G00X29.235      Y-163.657
N 215  G00X29.235      Y-164.243
N 216  G00X29.235      Y-164.828
N 217  G00X29.235      Y-165.414
N 218  G00X29.235      Y-165.999
N 219  G00X29.235      Y-166.584
N 220  G00X29.235      Y-167.169
N 221  G00X29.235      Y-167.754
N 222  G00X29.235      Y-168.339
N 223  G00X29.235      Y-168.924
N 224  G00X29.235      Y-169.509
N 225  G00X29.235      Y-170.094
N 226  G00X29.235      Y-170.679
N 227  G00X29.235      Y-171.264
N 228  G00X29.235      Y-171.849
N 229  G00X29.235      Y-172.435
N 230  G00X29.235      Y-173.021
N 231  G00X29.235      Y-173.607
N 232  G00X29.235      Y-174.194
N 233  G00X29.235      Y-174.194
N 234  G00X23.916      Y-174.194
N 235  G00X18.597      Y-174.194
N 236  G00X13.278      Y-174.194
N 237  G00X7.958       Y-174.194
N 238  G00X2.638       Y-174.194
N 239  G00X-2.683      Y-174.194
N 240  G00X-8.003      Y-174.194
N 241  G00X-13.324     Y-174.194
N 242  G00X-18.644     Y-174.194
N 243  G00X-23.965     Y-174.194
N 244  G00X-29.285     Y-174.194
N 245  G00X-34.606     Y-174.194
N 246  G00X-39.927     Y-174.194
N 247  G00X-45.247     Y-174.194
N 248  G00X-50.567     Y-174.194
N 249  G00X-55.887     Y-174.194
N 250  G00X-61.207     Y-174.194
N 251  G00X-66.527     Y-174.194
N 252  G00X-71.846     Y-174.194
N 253  G00X-77.165     Y-174.194
N 254  G00X-77.165     Y-174.194
N 255  G00X-77.165     Y-173.607
N 256  G00X-77.165     Y-173.021
N 257  G00X-77.165     Y-172.435
N 258  G00X-77.165     Y-171.849
N 259  G00X-77.165     Y-171.264
N 260  G00X-77.165     Y-170.679
N 261  G00X-77.165     Y-170.094
N 262  G00X-77.165     Y-169.509
N 263  G00X-77.165     Y-168.924
N 264  G00X-77.165     Y-168.339
N 265  G00X-77.165     Y-167.754
N 266  G00X-77.165     Y-167.169
N 267  G00X-77.165     Y-166.584
N 268  G00X-77.165     Y-165.999
N 269  G00X-77.165     Y-165.414
N 270  G00X-77.165     Y-164.828
N 271  G00X-77.165     Y-164.243
N 272  G00X-77.165     Y-163.657
N 273  G00X-77.165     Y-163.071
N 274  G00X-77.165     Y-162.484
N 275  G00X-77.165     Y-162.484
N 276  G00X-74.320     Y-162.243
N 277  G00X-71.619     Y-161.922
N 278  G00X-69.065     Y-161.522
N 279  G00X-66.656     Y-161.043
N 280  G00X-64.393     Y-160.484
N 281  G00X-62.275     Y-159.847
N 282  G00X-60.303     Y-159.130
N 283  G00X-58.477     Y-158.334
N 284  G00X-56.796     Y-157.459
N 285  G00X-55.261     Y-156.506
N 286  G00X-53.872     Y-155.473
N 287  G00X-52.628     Y-154.361
N 288  G00X-51.531     Y-153.169
N 289  G00X-50.579     Y-151.899
N 290  G00X-49.773     Y-150.550
N 291  G00X-49.112     Y-149.122
N 292  G00X-48.598     Y-147.615
N 293  G00X-48.229     Y-146.030
N 294  G00X-48.007     Y-144.365
N 295  G00X-47.930     Y-142.621
N 296  G00X-47.930     Y-142.621
N 297  G00X-47.930     Y-135.489
N 298  G00X-47.930     Y-128.357
N 299  G00X-47.930     Y-121.226
N 300  G00X-47.930     Y-114.095
N 301  G00X-47.930     Y-106.964
N 302  G00X-47.930     Y-99.833
N 303  G00X-47.930     Y-92.702
N 304  G00X-47.930     Y-85.572
N 305  G00X-47.930     Y-78.441
N 306  G00X-47.930     Y-71.311
N 307  G00X-47.930     Y-64.180
N 308  G00X-47.930     Y-57.050
N 309  G00X-47.930     Y-49.919
N 310  G00X-47.930     Y-42.789
N 311  G00X-47.930     Y-35.658
N 312  G00X-47.930     Y-28.527
N 313  G00X-47.930     Y-21.395
N 314  G00X-47.930     Y-14.264
N 315  G00X-47.930     Y-7.132
N 316  G00X-47.930     Y0.000
N 317  G00X-47.930     Y0.000
N 318  G00X-48.021     Y1.838
N 319  G00X-48.257     Y3.587
N 320  G00X-48.637     Y5.247
N 321  G00X-49.161     Y6.818
N 322  G00X-49.830     Y8.301
N 323  G00X-50.643     Y9.694
N 324  G00X-51.600     Y10.999
N 325  G00X-52.701     Y12.215
N 326  G00X-53.947     Y13.342
N 327  G00X-55.337     Y14.380
N 328  G00X-56.871     Y15.329
N 329  G00X-58.550     Y16.189
N 330  G00X-60.372     Y16.960
N 331  G00X-62.339     Y17.642
N 332  G00X-64.450     Y18.234
N 333  G00X-66.705     Y18.738
N 334  G00X-69.104     Y19.153
N 335  G00X-71.647     Y19.479
N 336  G00X-74.334     Y19.715
N 337  G00X-77.165     Y19.863
N 338  G00X-77.165     Y19.863
N 339  G00X-77.165     Y20.449
N 340  G00X-77.165     Y21.036
N 341  G00X-77.165     Y21.622
N 342  G00X-77.165     Y22.207
N 343  G00X-77.165     Y22.793
N 344  G00X-77.165     Y23.378
N 345  G00X-77.165     Y23.963
N 346  G00X-77.165     Y24.548
N 347  G00X-77.165     Y25.133
N 348  G00X-77.165     Y25.718
N 349  G00X-77.165     Y26.302
N 350  G00X-77.165     Y26.887
N 351  G00X-77.165     Y27.472
N 352  G00X-77.165     Y28.057
N 353  G00X-77.165     Y28.642
N 354  G00X-77.165     Y29.228
N 355  G00X-77.165     Y29.814
N 356  G00X-77.165     Y30.399
N 357  G00X-77.165     Y30.986
N 358  G00X-77.165     Y31.572
N 359  G00X-77.165     Y31.572
N 360  G00X-71.904     Y31.572
N 361  G00X-66.642     Y31.572
N 362  G00X-61.380     Y31.572
N 363  G00X-56.119     Y31.572
N 364  G00X-50.858     Y31.572
N 365  G00X-45.596     Y31.572
N 366  G00X-40.335     Y31.572
N 367  G00X-35.074     Y31.572
N 368  G00X-29.813     Y31.572
N 369  G00X-24.552     Y31.572
N 370  G00X-19.292     Y31.572
N 371  G00X-14.031     Y31.572
N 372  G00X-8.771      Y31.572
N 373  G00X-3.511      Y31.572
N 374  G00X1.748       Y31.572
N 375  G00X7.008       Y31.572
N 376  G00X12.267      Y31.572
N 377  G00X17.525      Y31.572
N 378  G00X22.784      Y31.572
N 379  G00X28.042      Y31.572
N 380  G00X28.042      Y31.572
N 381  G00X35.324      Y31.379
N 382  G00X42.236      Y30.923
N 383  G00X48.778      Y30.203
N 384  G00X54.950      Y29.219
N 385  G00X60.751      Y27.972
N 386  G00X66.183      Y26.461
N 387  G00X71.244      Y24.686
N 388  G00X75.935      Y22.648
N 389  G00X80.256      Y20.346
N 390  G00X84.208      Y17.780
N 391  G00X87.789      Y14.951
N 392  G00X91.000      Y11.858
N 393  G00X93.842      Y8.501
N 394  G00X96.313      Y4.881
N 395  G00X98.415      Y0.997
N 396  G00X100.147     Y-3.151
N 397  G00X101.509     Y-7.562
N 398  G00X102.502     Y-12.237
N 399  G00X103.125     Y-17.175
N 400  G00X103.378     Y-22.377
N 401  G00X103.378     Y-22.377
N 402  G00X103.157     Y-26.955
N 403  G00X102.592     Y-31.313
N 404  G00X101.683     Y-35.454
N 405  G00X100.431     Y-39.377
N 406  G00X98.835      Y-43.081
N 407  G00X96.896      Y-46.567
N 408  G00X94.613      Y-49.835
N 409  G00X91.987      Y-52.885
N 410  G00X89.017      Y-55.717
N 411  G00X85.703      Y-58.331
N 412  G00X82.046      Y-60.727
N 413  G00X78.046      Y-62.906
N 414  G00X73.702      Y-64.866
N 415  G00X69.015      Y-66.608
N 416  G00X63.984      Y-68.133
N 417  G00X58.610      Y-69.440
N 418  G00X52.893      Y-70.530
N 419  G00X46.832      Y-71.401
N 420  G00X40.428      Y-72.055
N 421  G00X33.681      Y-72.492
N 422  G00X33.681      Y-72.492
N 423  G00X37.602      Y-73.050
N 424  G00X41.371      Y-73.789
N 425  G00X44.988      Y-74.707
N 426  G00X48.454      Y-75.806
N 427  G00X51.768      Y-77.084
N 428  G00X54.930      Y-78.543
N 429  G00X57.940      Y-80.181
N 430  G00X60.798      Y-82.000
N 431  G00X63.505      Y-84.000
N 432  G00X66.059      Y-86.179
N 433  G00X68.462      Y-88.539
N 434  G00X70.712      Y-91.080
N 435  G00X72.810      Y-93.801
N 436  G00X74.756      Y-96.702
N 437  G00X76.550      Y-99.785
N 438  G00X78.192      Y-103.047
N 439  G00X79.682      Y-106.491
N 440  G00X81.019      Y-110.116
N 441  G00X82.204      Y-113.921
N 442  G00X83.236      Y-117.907
N 443  G00X83.236      Y-117.907
N 444  G00X84.035      Y-121.269
N 445  G00X84.847      Y-124.450
N 446  G00X85.672      Y-127.450
N 447  G00X86.510      Y-130.270
N 448  G00X87.361      Y-132.909
N 449  G00X88.225      Y-135.367
N 450  G00X89.103      Y-137.644
N 451  G00X89.994      Y-139.741
N 452  G00X90.898      Y-141.657
N 453  G00X91.815      Y-143.393
N 454  G00X92.745      Y-144.947
N 455  G00X93.689      Y-146.321
N 456  G00X94.647      Y-147.514
N 457  G00X95.618      Y-148.526
N 458  G00X96.602      Y-149.357
N 459  G00X97.600      Y-150.008
N 460  G00X98.611      Y-150.477
N 461  G00X99.636      Y-150.766
N 462  G00X100.675     Y-150.873
N 463  G00X101.727     Y-150.800
N 464  G00X101.727     Y-150.800
N 465  G00X102.550     Y-150.549
N 466  G00X103.341     Y-150.207
N 467  G00X104.101     Y-149.775
N 468  G00X104.830     Y-149.252
N 469  G00X105.528     Y-148.638
N 470  G00X106.194     Y-147.934
N 471  G00X106.829     Y-147.139
N 472  G00X107.433     Y-146.254
N 473  G00X108.006     Y-145.278
N 474  G00X108.547     Y-144.212
N 475  G00X109.057     Y-143.055
N 476  G00X109.536     Y-141.808
N 477  G00X109.984     Y-140.470
N 478  G00X110.400     Y-139.042
N 479  G00X110.785     Y-137.523
N 480  G00X111.139     Y-135.914
N 481  G00X111.462     Y-134.215
N 482  G00X111.754     Y-132.425
N 483  G00X112.014     Y-130.545
N 484  G00X112.243     Y-128.575
;N 485  G00X999721.757  Y999149.796
N 486  G00X144.399     Y-176.327
N 487  G00X144.399     Y-172.353
N 488  G00X144.399     Y-168.379
N 489  G00X144.399     Y-164.404
N 490  G00X144.399     Y-160.429
N 491  G00X144.399     Y-156.454
N 492  G00X144.399     Y-152.479
N 493  G00X144.399     Y-148.503
N 494  G00X144.399     Y-144.527
N 495  G00X144.399     Y-140.552
N 496  G00X144.399     Y-136.576
N 497  G00X144.399     Y-132.600
N 498  G00X144.399     Y-128.625
N 499  G00X144.399     Y-124.649
N 500  G00X144.399     Y-120.673
N 501  G00X144.399     Y-116.698
N 502  G00X144.399     Y-112.723
N 503  G00X144.399     Y-108.748
N 504  G00X144.399     Y-104.773
N 505  G00X144.399     Y-100.799
N 506  G00X144.399     Y-96.825
N 507  G00X144.399     Y-96.825
N 508  G00X145.040     Y-96.825
N 509  G00X145.680     Y-96.825
N 510  G00X146.321     Y-96.825
N 511  G00X146.963     Y-96.825
N 512  G00X147.604     Y-96.825
N 513  G00X148.246     Y-96.825
N 514  G00X148.888     Y-96.825
N 515  G00X149.530     Y-96.825
N 516  G00X150.173     Y-96.825
N 517  G00X150.816     Y-96.825
N 518  G00X151.459     Y-96.825
N 519  G00X152.102     Y-96.825
N 520  G00X152.746     Y-96.825
N 521  G00X153.389     Y-96.825
N 522  G00X154.033     Y-96.825
N 523  G00X154.676     Y-96.825
N 524  G00X155.320     Y-96.825
N 525  G00X155.964     Y-96.825
N 526  G00X156.608     Y-96.825
N 527  G00X157.252     Y-96.825
N 528  G00X157.252     Y-96.825
N 529  G00X159.193     Y-103.439
N 530  G00X161.275     Y-109.719
N 531  G00X163.498     Y-115.663
N 532  G00X165.862     Y-121.273
N 533  G00X168.368     Y-126.548
N 534  G00X171.014     Y-131.488
N 535  G00X173.801     Y-136.093
N 536  G00X176.729     Y-140.363
N 537  G00X179.798     Y-144.298
N 538  G00X183.008     Y-147.898
N 539  G00X186.359     Y-151.164
N 540  G00X189.850     Y-154.094
N 541  G00X193.483     Y-156.690
N 542  G00X197.257     Y-158.950
N 543  G00X201.172     Y-160.876
N 544  G00X205.228     Y-162.467
N 545  G00X209.424     Y-163.723
N 546  G00X213.762     Y-164.644
N 547  G00X218.241     Y-165.230
N 548  G00X222.860     Y-165.481
N 549  G00X222.860     Y-165.481
N 550  G00X226.496     Y-165.317
N 551  G00X229.950     Y-164.992
N 552  G00X233.222     Y-164.507
N 553  G00X236.314     Y-163.860
N 554  G00X239.223     Y-163.053
N 555  G00X241.951     Y-162.086
N 556  G00X244.498     Y-160.958
N 557  G00X246.863     Y-159.669
N 558  G00X249.046     Y-158.220
N 559  G00X251.048     Y-156.610
N 560  G00X252.868     Y-154.840
N 561  G00X254.506     Y-152.910
N 562  G00X255.962     Y-150.819
N 563  G00X257.236     Y-148.569
N 564  G00X258.329     Y-146.157
N 565  G00X259.240     Y-143.586
N 566  G00X259.968     Y-140.855
N 567  G00X260.515     Y-137.963
N 568  G00X260.879     Y-134.911
N 569  G00X261.062     Y-131.699
N 570  G00X261.062     Y-131.699
N 571  G00X260.965     Y-129.756
N 572  G00X260.622     Y-127.828
N 573  G00X260.031     Y-125.915
N 574  G00X259.194     Y-124.018
N 575  G00X258.109     Y-122.135
N 576  G00X256.778     Y-120.267
N 577  G00X255.200     Y-118.414
N 578  G00X253.375     Y-116.576
N 579  G00X251.303     Y-114.753
N 580  G00X248.984     Y-112.944
N 581  G00X246.418     Y-111.151
N 582  G00X243.606     Y-109.371
N 583  G00X240.547     Y-107.607
N 584  G00X237.240     Y-105.857
N 585  G00X233.687     Y-104.121
N 586  G00X229.887     Y-102.399
N 587  G00X225.840     Y-100.692
N 588  G00X221.546     Y-99.000
N 589  G00X217.005     Y-97.321
N 590  G00X212.218     Y-95.657
N 591  G00X212.218     Y-95.657
N 592  G00X205.719     Y-93.285
N 593  G00X199.559     Y-90.842
N 594  G00X193.736     Y-88.326
N 595  G00X188.251     Y-85.738
N 596  G00X183.104     Y-83.079
N 597  G00X178.295     Y-80.347
N 598  G00X173.824     Y-77.544
N 599  G00X169.690     Y-74.668
N 600  G00X165.894     Y-71.720
N 601  G00X162.437     Y-68.701
N 602  G00X159.316     Y-65.609
N 603  G00X156.534     Y-62.446
N 604  G00X154.089     Y-59.210
N 605  G00X151.982     Y-55.902
N 606  G00X150.213     Y-52.523
N 607  G00X148.782     Y-49.071
N 608  G00X147.688     Y-45.547
N 609  G00X146.931     Y-41.952
N 610  G00X146.513     Y-38.284
N 611  G00X146.431     Y-34.544
N 612  G00X146.431     Y-34.544
N 613  G00X146.854     Y-28.298
N 614  G00X147.597     Y-22.355
N 615  G00X148.660     Y-16.714
N 616  G00X150.043     Y-11.376
N 617  G00X151.747     Y-6.340
N 618  G00X153.770     Y-1.607
N 619  G00X156.114     Y2.824
N 620  G00X158.777     Y6.953
N 621  G00X161.761     Y10.779
N 622  G00X165.065     Y14.303
N 623  G00X168.690     Y17.525
N 624  G00X172.634     Y20.444
N 625  G00X176.899     Y23.061
N 626  G00X181.484     Y25.376
N 627  G00X186.390     Y27.389
N 628  G00X191.616     Y29.099
N 629  G00X197.162     Y30.507
N 630  G00X203.028     Y31.613
N 631  G00X209.215     Y32.417
N 632  G00X215.723     Y32.918
N 633  G00X215.723     Y32.918
N 634  G00X217.950     Y32.924
N 635  G00X220.215     Y32.849
N 636  G00X222.515     Y32.694
N 637  G00X224.851     Y32.458
N 638  G00X227.224     Y32.142
N 639  G00X229.633     Y31.745
N 640  G00X232.078     Y31.268
N 641  G00X234.559     Y30.710
N 642  G00X237.077     Y30.072
N 643  G00X239.630     Y29.353
N 644  G00X242.220     Y28.553
N 645  G00X244.846     Y27.673
N 646  G00X247.509     Y26.713
N 647  G00X250.207     Y25.671
N 648  G00X252.942     Y24.550
N 649  G00X255.712     Y23.347
N 650  G00X258.519     Y22.064
N 651  G00X261.363     Y20.699
N 652  G00X264.242     Y19.255
N 653  G00X267.158     Y17.729
N 654  G00X267.158     Y17.729
N 655  G00X267.744     Y18.312
N 656  G00X268.330     Y18.896
N 657  G00X268.916     Y19.480
N 658  G00X269.502     Y20.064
N 659  G00X270.087     Y20.648
N 660  G00X270.672     Y21.232
N 661  G00X271.257     Y21.817
N 662  G00X271.841     Y22.402
N 663  G00X272.425     Y22.986
N 664  G00X273.009     Y23.571
N 665  G00X273.593     Y24.156
N 666  G00X274.177     Y24.741
N 667  G00X274.760     Y25.326
N 668  G00X275.343     Y25.910
N 669  G00X275.927     Y26.495
N 670  G00X276.510     Y27.079
N 671  G00X277.093     Y27.663
N 672  G00X277.676     Y28.247
N 673  G00X278.259     Y28.830
N 674  G00X278.842     Y29.413
N 675  G00X278.842     Y29.413
N 676  G00X279.425     Y29.413
N 677  G00X280.008     Y29.413
N 678  G00X280.592     Y29.413
N 679  G00X281.176     Y29.413
N 680  G00X281.761     Y29.413
N 681  G00X282.346     Y29.413
N 682  G00X282.931     Y29.413
N 683  G00X283.516     Y29.413
N 684  G00X284.101     Y29.413
N 685  G00X284.687     Y29.413
N 686  G00X285.273     Y29.413
N 687  G00X285.859     Y29.413
N 688  G00X286.445     Y29.413
N 689  G00X287.032     Y29.413
N 690  G00X287.618     Y29.413
N 691  G00X288.205     Y29.413
N 692  G00X288.791     Y29.413
N 693  G00X289.378     Y29.413
N 694  G00X289.965     Y29.413
N 695  G00X290.551     Y29.413
N 696  G00X290.551     Y29.413
N 697  G00X290.551     Y25.851
N 698  G00X290.551     Y22.287
N 699  G00X290.551     Y18.723
N 700  G00X290.551     Y15.159
N 701  G00X290.551     Y11.594
N 702  G00X290.551     Y8.028
N 703  G00X290.551     Y4.462
N 704  G00X290.551     Y0.897
N 705  G00X290.551     Y-2.670
N 706  G00X290.551     Y-6.236
N 707  G00X290.551     Y-9.802
N 708  G00X290.551     Y-13.368
N 709  G00X290.551     Y-16.934
N 710  G00X290.551     Y-20.500
N 711  G00X290.551     Y-24.065
N 712  G00X290.551     Y-27.630
N 713  G00X290.551     Y-31.195
N 714  G00X290.551     Y-34.759
N 715  G00X290.551     Y-38.322
N 716  G00X290.551     Y-41.885
N 717  G00X290.551     Y-41.885
N 718  G00X289.965     Y-41.885
N 719  G00X289.378     Y-41.885
N 720  G00X288.791     Y-41.885
N 721  G00X288.205     Y-41.885
N 722  G00X287.618     Y-41.885
N 723  G00X287.032     Y-41.885
N 724  G00X286.445     Y-41.885
N 725  G00X285.859     Y-41.885
N 726  G00X285.273     Y-41.885
N 727  G00X284.687     Y-41.885
N 728  G00X284.101     Y-41.885
N 729  G00X283.516     Y-41.885
N 730  G00X282.931     Y-41.885
N 731  G00X282.346     Y-41.885
N 732  G00X281.761     Y-41.885
N 733  G00X281.176     Y-41.885
N 734  G00X280.592     Y-41.885
N 735  G00X280.008     Y-41.885
N 736  G00X279.425     Y-41.885
N 737  G00X278.842     Y-41.885
N 738  G00X278.842     Y-41.885
N 739  G00X277.143     Y-36.073
N 740  G00X275.316     Y-30.555
N 741  G00X273.361     Y-25.330
N 742  G00X271.277     Y-20.400
N 743  G00X269.065     Y-15.763
N 744  G00X266.724     Y-11.421
N 745  G00X264.256     Y-7.372
N 746  G00X261.659     Y-3.617
N 747  G00X258.934     Y-0.157
N 748  G00X256.080     Y3.010
N 749  G00X253.099     Y5.882
N 750  G00X249.989     Y8.460
N 751  G00X246.751     Y10.744
N 752  G00X243.385     Y12.734
N 753  G00X239.890     Y14.430
N 754  G00X236.268     Y15.831
N 755  G00X232.518     Y16.938
N 756  G00X228.639     Y17.750
N 757  G00X224.633     Y18.268
N 758  G00X220.498     Y18.491
N 759  G00X220.498     Y18.491
N 760  G00X217.178     Y18.346
N 761  G00X214.025     Y18.064
N 762  G00X211.037     Y17.645
N 763  G00X208.214     Y17.089
N 764  G00X205.557     Y16.395
N 765  G00X203.066     Y15.564
N 766  G00X200.740     Y14.595
N 767  G00X198.579     Y13.489
N 768  G00X196.584     Y12.246
N 769  G00X194.755     Y10.865
N 770  G00X193.091     Y9.346
N 771  G00X191.592     Y7.690
N 772  G00X190.258     Y5.897
N 773  G00X189.090     Y3.965
N 774  G00X188.087     Y1.896
N 775  G00X187.249     Y-0.310
N 776  G00X186.576     Y-2.655
N 777  G00X186.068     Y-5.137
N 778  G00X185.725     Y-7.758
N 779  G00X185.547     Y-10.516
